0 1 338.469 10.364 -0.327 2.293 4.726
0 2 340.574 24.035 0.699 2.290 4.752
0 3 322.479 10.788 -0.419 2.310 4.760
0 4 323.741 24.016 0.069 2.299 4.756
0 5 306.342 10.423 -0.052 2.299 4.760
0 6 307.042 23.872 -0.278 2.316 4.798
0 7 290.494 10.563 0.038 2.319 4.793
0 8 290.45 23.978 0.160 2.301 4.766
0 9 274.501 11.131 -0.359 2.303 4.744
0 10 273.824 24.274 0.609 2.296 4.754
0 11 258.468 10.609 -0.035 2.301 4.762
0 12 257.137 24.419 0.364 2.297 4.752
0 13 242.464 10.222 0.031 2.299 4.764
0 14 240.421 24.457 0.265 2.300 4.754
0 15 334.115 50.95 0.000 2.300 4.754
0 16 327.411 37.00 0.000 2.300 4.754
0 17 312.371 50.95 0.000 2.300 4.754
0 18 309.001 37.00 0.000 2.300 4.754
0 19 290.591 37.00 0.000 2.300 4.754
0 20 290.591 50.95 0.000 2.300 4.754
0 21 272.181 37.00 0.000 2.300 4.754
0 22 268.811 50.95 0.000 2.300 4.754
0 23 253.771 37.00 0.000 2.300 4.754
0 24 247.031 50.95 0.000 2.300 4.754
1 0 198.208 25.551 0.197 3.000 6.172
1 1 198.392 10.611 -0.064 3.000 6.044
1 2 180.232 25.97 0.407 3.000 6.181
1 3 180.218 10.677 -0.077 3.000 6.088
1 4 162.727 25.986 0.490 3.000 6.065
1 5 162.81 10.68 -0.047 3.000 6.039
1 6 144.057 25.88 0.602 3.000 6.183
1 7 144.357 10.693 -0.240 3.000 6.064
1 8 126.752 25.939 0.032 3.000 6.190
1 9 126.317 10.711 0.426 3.000 6.062
1 10 108.069 25.849 0.608 3.000 6.158
1 11 108.106 10.737 0.514 3.000 6.052
2 0 64.067 25.707 -0.228 3.000 6.170
2 1 64.005 10.762 -0.231 3.000 6.099
2 2 46.107 25.933 0.110 3.000 6.183
2 3 46.011 10.797 -0.020 3.000 6.086
2 4 28.244 25.932 -0.086 3.000 6.172
2 5 28.105 10.685 -0.026 3.000 6.098
2 6 10.186 25.724 0.351 3.000 6.164
2 7 10.349 10.915 0.112 3.000 6.077
2 8 352.158 25.895 0.280 3.000 6.171
2 9 352.224 10.745 -0.248 3.000 6.108
2 10 334.166 26.006 0.079 3.000 6.173
2 11 334.197 10.615 -0.225 3.000 6.126
