 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,14.000,14,14,322.071,147.806,322.128,147.977,11,0,4,corner
2,0.000,52.000,52,52,1038.974,134.348,1038.917,134.291,11,0,4,corner
3,0.000,84.000,84,84,1049.923,777.349,1049.866,777.520,11,0,4,corner
4,0.000,6.000,6,6,330.966,786.016,331.023,786.073,11,0,4,corner
5,2377.759,26.915,0,75,355.144,646.992,355.832,645.578,0,0,0,star
6,1529.295,28.604,0,111,338.379,570.694,338.808,570.022,0,0,0,star
7,1853.790,26.347,0,81,591.223,585.064,591.164,584.522,0,0,0,star
8,1364.940,31.985,0,81,552.903,438.627,552.885,438.350,0,0,0,star
9,1358.385,41.460,2,109,681.891,392.951,681.685,392.733,0,0,0,star
10,1853.790,31.201,2,104,977.844,335.642,977.549,335.029,0,0,0,star
