 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,5.000,5,5,321.614,144.726,321.785,144.898,30,0,4,corner
2,0.000,19.000,19,19,1038.746,134.804,1038.917,134.975,30,0,4,corner
3,0.000,68.000,68,68,1050.037,777.691,1050.208,777.862,30,0,4,corner
4,0.000,7.000,7,7,329.826,784.534,329.997,784.705,30,0,4,corner
5,2111.560,24.162,0,79,476.776,604.567,477.426,603.310,0,0,0,star
6,1685.924,23.504,1,57,767.427,507.569,767.317,506.757,0,0,0,star
7,2289.260,26.863,0,88,976.818,660.336,975.379,658.452,0,0,0,star
