 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,7.000,7,7,320.930,146.665,321.101,146.608,5,0,4,corner
2,0.000,33.000,33,33,1038.746,135.489,1038.917,135.660,5,0,4,corner
3,0.000,75.000,75,75,1049.694,777.349,1049.866,777.520,5,0,4,corner
4,0.000,12.000,12,12,331.194,785.788,331.365,785.731,5,0,4,corner
5,2166.345,35.979,0,88,414.335,573.260,414.802,572.556,0,0,0,star
6,2175.008,37.588,0,85,396.201,502.950,396.440,501.908,0,0,0,star
7,1877.203,40.480,0,180,1037.719,749.635,1038.359,747.417,0,0,0,star
8,1979.749,33.420,0,85,660.336,515.609,660.242,515.308,0,0,0,star
9,1406.614,40.059,0,80,623.384,371.567,623.294,371.373,0,0,0,star
10,1641.674,47.023,2,122,750.662,332.563,750.364,332.258,0,0,0,star
