 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,9.000,9,9,320.930,146.551,321.101,146.608,8,0,4,corner
2,0.000,52.000,52,52,1038.290,134.462,1038.233,134.633,8,0,4,corner
3,0.000,72.000,72,72,1049.238,777.349,1049.181,777.520,8,0,4,corner
4,0.000,5.000,5,5,330.054,785.104,329.997,785.047,8,0,4,corner
5,2238.572,30.746,0,92,384.740,610.896,385.150,609.827,0,0,0,star
6,1942.055,32.606,0,97,365.751,534.940,366.077,534.495,0,0,0,star
7,1413.170,34.763,0,102,1018.902,761.610,1017.405,761.339,0,0,0,star
8,1321.862,30.760,0,82,626.806,548.797,626.985,548.731,0,0,0,star
9,1032.017,36.069,2,97,592.592,403.044,592.687,402.664,0,0,0,star
10,1789.406,43.683,3,98,713.026,363.527,713.297,362.983,0,0,0,star
11,1828.037,33.885,1,119,1019.244,307.929,1019.149,307.588,0,0,0,star
