 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,6.000,6,6,325.378,144.726,325.549,144.898,40,0,4,corner
2,0.000,13.000,13,13,1042.852,135.146,1043.023,135.318,40,0,4,corner
3,0.000,96.000,96,96,1051.063,779.059,1051.234,779.230,40,0,4,corner
4,0.000,6.000,6,6,332.221,784.534,332.392,784.705,40,0,4,corner
5,3425.696,14.240,0,69,365.409,748.609,366.470,746.768,0,0,0,star
6,1815.628,17.969,0,75,648.019,628.688,647.867,628.045,0,0,0,star
7,2125.608,23.580,0,85,869.385,759.044,867.380,758.712,0,0,0,star
