 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,7.000,7,7,320.702,146.209,320.759,146.266,6,0,4,corner
2,0.000,19.000,19,19,1039.088,135.831,1039.259,136.002,6,0,4,corner
3,0.000,185.000,185,185,1049.238,778.261,1049.181,778.204,6,0,4,corner
4,0.000,17.000,17,17,330.510,785.902,330.681,786.073,6,0,4,corner
5,2237.753,48.126,0,149,405.097,583.012,405.427,582.345,0,0,0,star
6,2069.184,53.676,0,130,386.621,513.214,386.731,512.550,0,0,0,star
7,1323.618,56.291,0,132,1029.337,756.991,1028.471,757.000,0,0,0,star
8,1248.347,48.950,0,116,645.624,532.717,645.422,532.675,0,0,0,star
9,1130.934,56.593,0,118,611.923,385.082,611.997,384.861,0,0,0,star
10,1676.325,68.351,3,161,738.687,343.169,738.566,342.870,0,0,0,star
