 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,39.000,39,39,333.681,144.121,333.738,144.063,43,0,4,corner
2,0.000,31.000,31,31,1050.958,142.687,1051.130,142.687,43,0,4,corner
3,0.000,160.000,160,160,1052.679,782.911,1052.851,782.969,43,0,4,corner
4,0.000,15.000,15,15,335.632,782.538,335.804,782.624,43,0,4,corner
5,1212.487,29.817,1,109,617.562,767.822,617.582,767.743,0,0,0,star
6,1559.691,47.314,3,88,575.910,498.284,576.038,498.037,0,0,0,star
7,1522.008,56.264,16,91,726.686,408.954,726.589,408.862,0,0,0,star
8,1726.065,41.277,6,68,955.604,528.921,955.354,528.674,0,0,0,star
