 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,44.000,44,44,333.911,144.236,334.083,144.408,21,0,4,corner
2,0.000,40.000,40,40,1051.416,142.859,1051.474,143.031,21,0,4,corner
3,0.000,164.000,164,164,1052.679,783.026,1052.851,782.969,21,0,4,corner
4,0.000,11.000,11,11,335.460,782.452,335.460,782.624,21,0,4,corner
5,1709.712,50.569,25,81,642.520,552.846,642.549,552.512,0,0,0,star
6,1647.262,58.121,28,83,691.746,491.055,691.726,490.693,0,0,0,star
7,2235.020,38.130,8,69,605.686,660.420,605.774,659.852,0,0,0,star
8,2517.879,56.545,18,92,916.361,400.176,916.070,399.847,0,0,0,star
9,1940.312,72.447,49,99,578.836,209.296,578.960,209.262,0,0,0,star
