 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,46.000,46,46,333.911,143.547,334.083,143.719,14,0,4,corner
2,0.000,25.000,25,25,1051.474,143.203,1051.474,143.375,14,0,4,corner
3,0.000,176.000,176,176,1052.851,782.796,1052.851,782.969,14,0,4,corner
4,0.000,20.000,20,20,335.632,782.280,335.804,782.280,14,0,4,corner
5,2306.001,32.763,3,75,459.557,705.859,459.945,705.127,0,0,0,star
6,1025.258,50.662,14,84,688.820,542.519,688.795,542.322,0,0,0,star
7,1283.350,61.585,33,89,728.235,439.247,728.146,439.121,0,0,0,star
8,1361.323,65.436,37,91,781.075,379.006,780.952,378.879,0,0,0,star
9,1697.980,60.947,10,84,1002.592,293.118,1002.490,292.982,0,0,0,star
