 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,54.000,54,54,333.911,142.973,334.083,143.031,23,0,4,corner
2,0.000,23.000,23,23,1051.302,142.859,1051.474,143.031,23,0,4,corner
3,0.000,124.000,124,124,1052.851,782.624,1052.851,782.624,23,0,4,corner
4,0.000,4.000,4,4,335.746,781.993,335.804,781.936,23,0,4,corner
5,2015.440,35.755,12,65,581.417,689.852,581.565,689.461,0,0,0,star
6,1759.955,46.896,14,73,619.800,585.548,619.840,585.073,0,0,0,star
7,1609.461,55.424,25,77,666.100,521.692,666.201,521.236,0,0,0,star
8,1813.043,56.591,21,83,887.961,428.920,887.791,428.627,0,0,0,star
9,1270.434,60.255,31,82,632.192,420.142,632.322,420.031,0,0,0,star
10,1907.606,69.844,43,99,553.190,239.073,553.337,238.959,0,0,0,star
