 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,48.000,48,48,333.566,143.547,333.738,143.719,34,0,4,corner
2,0.000,48.000,48,48,1050.958,143.031,1051.130,143.031,34,0,4,corner
3,0.000,112.000,112,112,1052.679,782.624,1052.851,782.624,34,0,4,corner
4,0.000,14.000,14,14,335.746,782.567,335.804,782.624,34,0,4,corner
5,2427.345,31.672,2,62,507.062,738.562,507.511,737.734,0,0,0,star
6,1837.217,34.982,2,65,459.729,630.643,460.126,630.321,0,0,0,star
7,1773.109,42.034,16,73,720.662,637.700,720.514,637.168,0,0,0,star
8,2051.464,48.072,0,92,380.727,459.901,381.183,459.323,0,0,0,star
