0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	1403.661138	933.682563	1403.893532	933.527614	8.209076	38	49.267576	corner
2	0	476.582463	929.054025	476.640562	928.879730	8.425104	39	49.267576	corner
3	0	477.570139	177.781584	477.570139	177.781584	17.714321	82	49.267576	corner
4	0	1409.703388	180.570315	1409.935782	180.570315	2.376311	11	49.267576	corner
5	0	0	0	942.010004	555.189811	0	0	0	center
6	7488.405303	895.182567	412.267361	895.186631	411.943228	1025784.717882	4748381	0	star
7	7488.405303	776.661510	954.675489	776.818559	954.079951	667376.470999	3089301	0	star
8	7488.405303	545.661648	937.943105	546.103070	937.445480	611952.032015	2832740	0	star
9	7488.405303	1171.266910	769.224895	1171.111444	768.828556	785867.566425	3637799	0	star
10	7488.405303	1222.858428	636.760185	1222.711825	636.457346	845876.774210	3915583	0	star
