0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	1403.661138	933.682563	1403.893532	933.527614	8.209076	38	49.267576	corner
2	0	476.582463	929.054025	476.640562	928.879730	8.425104	39	49.267576	corner
3	0	477.570139	177.781584	477.570139	177.781584	17.714321	82	49.267576	corner
4	0	1409.703388	180.570315	1409.935782	180.570315	2.376311	11	49.267576	corner
5	0	0	0	942.010004	555.189811	0	0	0	center
6	7488.405303	966.295200	495.929283	966.415488	490.823991	873678.969492	4044280	0	star
7	7488.405303	831.041760	274.689978	831.126641	274.490769	988684.232124	4576642	0	star
8	7488.405303	605.619358	1016.027565	605.971720	1009.994919	502140.521988	2324420	0	star
9	7488.405303	1241.914755	866.830471	1241.661725	866.207251	698367.460150	3232759	0	star
10	7488.405303	1278.168254	663.253127	1277.926439	662.844994	813810.828193	3767149	0	star
11	7488.405303	1398.083676	588.422186	1397.819456	589.436648	776615.289979	3594970	0	star
