0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.590213	5.477949	41.588525	5.476261	0.010396	57	0.013505	corner
2	0	13.567984	5.604558	13.565732	5.611311	0.008207	45	0.013505	corner
3	0	13.707535	30.305131	13.714287	30.311883	0.008025	44	0.054020	corner
4	0	41.534505	30.197091	41.534505	30.203843	0.006931	38	0.054020	corner
5	0	0	0	27.600762	17.900825	0	0	0	center
6	6.322157	38.124502	23.039462	38.115402	23.008903	363.843758	1994933	0	star
7	6.322157	22.985442	8.859254	22.979840	8.857967	403.062508	2209967	0	star
8	6.322157	37.044106	19.703737	37.045542	19.693052	367.525360	2015119	0	star
9	6.322157	29.224734	17.151299	29.227826	17.136572	375.258622	2057520	0	star
10	6.322157	22.863898	13.113316	22.862057	13.116049	359.111441	1968986	0	star
11	6.322157	22.161640	21.324332	22.153897	21.305384	333.120634	1826480.000000	0	star
12	6.322157	15.422664	23.903779	15.438707	23.912695	293.484772	1609159	0	star
13	6.322157	14.180208	15.773793	14.323451	15.757838	287.868076	1578363	0	star
