0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.384110	5.438772	41.390852	5.441019	0.003818	21	0.458475	corner
2	0	13.400280	5.918036	13.396909	5.912979	0.004000	22	0.458475	corner
3	0	13.805940	30.582979	13.801446	30.589721	0.012728	70	0.458475	corner
4	0	41.651553	30.142482	41.647059	30.144730	0.008910	49	0.458475	corner
5	0	0	0	27.559066	18.022112	0	0	0	center
6	6.303070	34.547439	23.287832	34.559922	23.261751	398.575357	2191982	0	star
7	6.303070	34.628346	19.741394	34.598447	19.734807	388.574707	2136983	0	star
8	6.303070	15.601634	28.115304	15.599998	28.098162	272.837801	1500483	0	star
9	6.303070	23.517070	6.148959	23.413124	5.928117	455.464092	2504844	0	star
10	6.303070	22.316944	10.248264	22.323487	10.242678	354.318219	1948588	0	star
11	6.303070	27.737737	15.116190	27.739462	15.125823	387.727909	2132326	0	star
12	6.303070	29.409822	17.327658	29.422493	17.330205	381.278827	2096859	0	star
13	6.303070	19.808816	17.691741	19.805289	17.685479	351.095769	1930866	0	star
14	6.303070	23.665400	28.492872	23.672262	28.487926	275.926421	1517469	0	star
15	6.303070	30.299803	27.940005	30.309212	27.911070	286.135817	1573616	0	star
16	6.303070	38.538868	24.555381	38.539587	24.538866	321.454756	1767854	0	star
