0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.376471	5.687586	41.372248	5.682518	0.003835	21	0.040541	corner
2	0	13.379425	6.041899	13.385338	6.047389	0.005296	29	0.040541	corner
3	0	13.696153	30.735262	13.696153	30.736951	0.009131	50	0.040541	corner
4	0	41.676306	30.531992	41.683063	30.534246	0.008583	47	0.040541	corner
5	0	0	0	27.534200	18.250276	0	0	0	center
6	6.330360	19.594891	23.676034	19.598260	23.686247	391.651003	2144616	0	star
7	6.330360	28.432863	13.675883	28.442943	13.662780	462.815501	2534301	0	star
8	6.330360	35.324859	11.162331	35.335189	11.187987	425.510318	2330024	0	star
9	6.330360	35.811353	12.797491	35.793336	12.793191	431.282772	2361633	0	star
10	6.330360	24.946323	18.338115	24.956114	18.329137	385.236455	2109491	0	star
11	6.330360	24.176041	20.986804	24.183837	20.986042	340.188525	1862816	0	star
12	6.330360	31.297771	20.554365	31.303009	20.536473	358.703147	1964199.000000	0	star
13	6.330360	32.405896	24.851727	32.424627	24.827487	313.690098	1717715	0	star
14	6.330360	19.297589	15.865105	19.292868	15.847617	365.154766	1999527	0	star
15	6.330360	16.986743	14.229945	16.984849	14.235937	365.924512	2003742	0	star
16	6.330360	14.189404	13.783992	14.251640	13.808208	354.699191	1942274.000000	0	star
17	6.330360	14.121835	15.081309	14.207744	14.963378	344.218779	1884885	0	star
18	6.330360	34.892420	19.905707	34.880868	19.886432	347.754496	1904246	0	star
19	6.330360	33.189691	10.716378	33.181422	10.738188	359.401671	1968024	0	star
20	6.330360	25.149029	8.743376	25.156124	8.746648	353.516357	1935797	0	star
21	6.330360	16.919175	9.729877	16.938230	9.746557	332.929905	1823069	0	star
