0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.376471	5.687586	41.372248	5.682518	0.003835	21	0.040541	corner
2	0	13.379425	6.041899	13.385338	6.047389	0.005296	29	0.040541	corner
3	0	13.696153	30.735262	13.696153	30.736951	0.009131	50	0.040541	corner
4	0	41.676306	30.531992	41.683063	30.534246	0.008583	47	0.040541	corner
5	0	0	0	27.534200	18.250276	0	0	0	center
6	6.330360	16.932689	23.703061	16.915807	23.699305	386.119060	2114324	0	star
7	6.330360	25.986880	13.824533	25.984783	13.820684	456.361872	2498962	0	star
8	6.330360	32.932931	11.581256	32.950617	11.609360	429.454922	2351624	0	star
9	6.330360	33.392397	13.027224	33.375373	12.990846	415.284114	2274027	0	star
10	6.330360	40.541154	14.229945	40.428698	14.235745	345.309571	1890858	0	star
11	6.330360	28.743678	20.973290	28.742894	20.942282	358.485281	1963006	0	star
12	6.330360	29.730180	25.135515	29.738019	25.097558	311.125557	1703672.000000	0	star
13	6.330360	21.500325	21.081400	21.508554	21.080890	341.480931	1869893	0	star
14	6.330360	22.378717	18.608390	22.379653	18.577066	360.017102	1971394	0	star
15	6.330360	16.784038	15.797536	16.780085	15.790574	346.831897	1899194	0	star
16	6.330360	14.324541	14.229945	14.364905	14.224339	322.112193	1763833.000000	0	star
17	6.330360	32.351841	20.567879	32.348501	20.536517	340.428124	1864128	0	star
18	6.330360	30.797763	10.986653	30.787644	10.991849	361.976803	1982125	0	star
19	6.330360	23.176026	8.810944	23.158995	8.824788	338.952001	1856045	0	star
20	6.330360	20.838153	7.810929	20.833624	7.801714	325.135477	1780388	0	star
