0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.590213	5.477949	41.588525	5.476261	0.010396	57	0.013505	corner
2	0	13.567984	5.604558	13.565732	5.611311	0.008207	45	0.013505	corner
3	0	13.707535	30.305131	13.714287	30.311883	0.008025	44	0.054020	corner
4	0	41.534505	30.197091	41.534505	30.203843	0.006931	38	0.054020	corner
5	0	0	0	27.600762	17.900825	0	0	0	center
6	6.322157	32.668499	8.062461	32.668522	8.076950	451.506238	2475581.000000	0	star
7	6.322157	25.916019	23.849760	25.923011	23.811342	367.520436	2015092	0	star
8	6.322157	32.749528	12.424563	32.748453	12.423553	429.939518	2357332	0	star
9	6.322157	23.079977	16.476051	23.093512	16.472586	442.945318	2428642	0	star
10	6.322157	24.362948	14.895971	24.366966	14.892826	425.444119	2332684.000000	0	star
