0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.871863	5.159492	40.877491	5.166245	0.014594	80	0.621300	corner
2	0	12.869465	5.315942	12.864963	5.314817	0.004196	23	0.621300	corner
3	0	40.969785	29.833657	40.972037	29.829156	0.014047	77	0.621300	corner
4	0	13.058556	29.986733	13.054054	29.991234	0.016783	92	0.621300	corner
5	0	13.058556	29.986733	26.942136	17.575363	0.016783	92	0.621300	center
6	6.323620	29.565779	23.217713	29.562855	23.212058	424.389285	2326362	0	star
7	6.323620	29.498246	15.316397	29.510888	15.320918	429.771952	2355868	0	star
8	6.323620	30.119546	15.721593	30.068067	15.684812	429.213363	2352806	0	star
9	6.323620	33.779814	19.584458	33.780811	19.562791	406.836423	2230143	0	star
10	6.323620	37.196964	22.407321	37.214163	22.413286	380.473289	2085629	0	star
11	6.323620	27.607333	26.810448	27.599926	26.793876	322.613731	1768462	0	star
12	6.323620	17.166791	25.743433	17.170277	25.715393	329.980464	1808844	0	star
13	6.323620	22.204724	19.071210	22.219615	19.053585	404.516692	2217427	0	star
14	6.323620	20.016667	21.786021	20.024088	21.770463	370.607864	2031550.000000	0	star
