0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.871863	5.159492	40.877491	5.166245	0.014594	80	0.621300	corner
2	0	12.869465	5.315942	12.864963	5.314817	0.004196	23	0.621300	corner
3	0	40.969785	29.833657	40.972037	29.829156	0.014047	77	0.621300	corner
4	0	13.058556	29.986733	13.054054	29.991234	0.016783	92	0.621300	corner
5	0	13.058556	29.986733	26.942136	17.575363	0.016783	92	0.621300	center
6	6.323620	20.705500	19.057704	20.710668	19.069577	437.266018	2396948.000000	0	star
7	6.323620	25.149146	15.843151	25.150496	15.848872	417.015073	2285939	0	star
8	6.323620	28.444737	18.895625	28.455182	18.904324	439.705421	2410320	0	star
9	6.323620	18.584975	22.636932	18.579460	22.622198	359.270991	1969405	0	star
10	6.323620	23.933558	19.354847	23.937507	19.347786	405.265734	2221533	0	star
11	6.323620	20.948617	11.102362	20.964987	11.098203	379.681924	2081291	0	star
12	6.323620	39.574112	20.773032	39.567840	20.760609	372.484118	2041835	0	star
