0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.871863	5.159492	40.877491	5.166245	0.014594	80	0.621300	corner
2	0	12.869465	5.315942	12.864963	5.314817	0.004196	23	0.621300	corner
3	0	40.969785	29.833657	40.972037	29.829156	0.014047	77	0.621300	corner
4	0	13.058556	29.986733	13.054054	29.991234	0.016783	92	0.621300	corner
5	0	13.058556	29.986733	26.942136	17.575363	0.016783	92	0.621300	center
6	6.323620	33.334098	24.743950	33.331346	24.729608	394.730623	2163783	0	star
7	6.323620	33.050461	16.977699	33.056498	16.971716	443.526884	2431268	0	star
8	6.323620	37.548134	20.948617	37.545542	20.949897	398.511405	2184508	0	star
9	6.323620	35.900338	22.474854	35.877734	22.465466	374.373140	2052190	0	star
10	6.323620	26.121615	20.570434	26.126343	20.558974	420.311878	2304011	0	star
11	6.323620	26.810448	14.803149	26.809910	14.810521	417.345264	2287749	0	star
12	6.323620	18.112247	17.909649	18.119930	17.912793	398.270420	2183187	0	star
13	6.323620	20.948617	27.418241	20.955676	27.412155	331.254164	1815826	0	star
