0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.253005	5.274276	40.259745	5.277646	0.003635	20	0.026961	corner
2	0	12.253424	5.662264	12.247105	5.668583	0.004180	23	0.026961	corner
3	0	12.616698	30.352643	12.611080	30.351520	0.007269	40	0.026961	corner
4	0	40.506888	29.962832	40.502395	29.960584	0.008541	47	0.026961	corner
5	0	0	0	26.405081	17.814583	0	0	0	center
6	6.299349	13.642345	24.157195	13.686630	24.125426	258.467760	1422294	0	star
7	6.299349	25.518733	19.304187	25.527727	19.278061	406.162274	2235026	0	star
8	6.299349	27.743029	18.090935	27.752932	18.070682	414.036460	2278356	0	star
