0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.376471	5.687586	41.372248	5.682518	0.003835	21	0.040541	corner
2	0	13.379425	6.041899	13.385338	6.047389	0.005296	29	0.040541	corner
3	0	13.696153	30.735262	13.696153	30.736951	0.009131	50	0.040541	corner
4	0	41.676306	30.531992	41.683063	30.534246	0.008583	47	0.040541	corner
5	0	0	0	27.534200	18.250276	0	0	0	center
6	6.330360	17.175936	14.162376	17.165185	14.173260	416.882774	2282781	0	star
7	6.330360	24.149014	12.392079	24.167906	12.414655	435.615810	2385360	0	star
8	6.330360	24.527398	14.054267	24.521181	14.041440	419.587933	2297594	0	star
9	6.330360	31.811292	15.770509	31.798978	15.765112	440.403208	2411575	0	star
10	6.330360	36.000545	14.351568	35.995059	14.353072	426.642200	2336222	0	star
11	6.330360	19.216507	21.527353	19.214352	21.489440	322.725068	1767189	0	star
12	6.330360	19.959761	25.392276	19.970521	25.401236	289.123795	1583194	0	star
13	6.330360	31.338312	9.297438	31.333096	9.305193	364.283849	1994758	0	star
14	6.330360	33.486993	18.824609	33.485086	18.804509	371.671216	2035210	0	star
15	6.330360	32.743739	23.000348	32.770616	22.937094	345.794977	1893516	0	star
16	6.330360	33.149150	22.081415	33.102513	22.180249	384.383800	2104822	0	star
17	6.330360	39.933037	24.446316	39.934866	24.447819	288.336883	1578885	0	star
18	6.330360	22.676019	21.162482	22.687495	21.130346	323.111310	1769304	0	star
19	6.330360	22.135470	11.716393	22.135965	11.720254	351.121106	1922681	0	star
