0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.590213	5.477949	41.588525	5.476261	0.010396	57	0.013505	corner
2	0	13.567984	5.604558	13.565732	5.611311	0.008207	45	0.013505	corner
3	0	13.707535	30.305131	13.714287	30.311883	0.008025	44	0.054020	corner
4	0	41.534505	30.197091	41.534505	30.203843	0.006931	38	0.054020	corner
5	0	0	0	27.600762	17.900825	0	0	0	center
6	6.322157	37.651829	23.025957	37.650663	23.018140	373.616619	2048517	0	star
7	6.322157	22.512769	8.926779	22.521844	8.915603	392.536765	2152255	0	star
8	6.322157	36.625452	19.609202	36.619340	19.614969	385.475953	2113541	0	star
9	6.322157	14.841951	23.998314	14.877617	23.989010	290.529970	1592958	0	star
10	6.322157	22.499264	13.315891	22.502517	13.312893	364.222022	1997007	0	star
11	6.322157	21.891540	21.148768	21.889048	21.124618	337.003224	1847768	0	star
12	6.322157	28.819585	17.124289	28.818559	17.127009	378.940407	2077707	0	star
13	6.322157	31.223468	18.515300	31.234635	18.527475	374.996171	2056081	0	star
14	6.322157	34.532183	28.306396	34.531549	28.300057	260.737187	1429606	0	star
15	6.322157	41.082089	23.350076	40.950093	23.336169	260.082429	1426016.000000	0	star
