0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.376471	5.687586	41.372248	5.682518	0.003835	21	0.040541	corner
2	0	13.379425	6.041899	13.385338	6.047389	0.005296	29	0.040541	corner
3	0	13.696153	30.735262	13.696153	30.736951	0.009131	50	0.040541	corner
4	0	41.676306	30.531992	41.683063	30.534246	0.008583	47	0.040541	corner
5	0	0	0	27.534200	18.250276	0	0	0	center
6	6.330360	14.243459	23.689548	14.294381	23.671024	342.688418	1876505	0	star
7	6.330360	23.473328	13.986698	23.474327	13.981563	451.816081	2474070.000000	0	star
8	6.330360	30.473434	11.932613	30.491930	11.949768	448.292600	2454776	0	star
9	6.330360	30.811277	13.540745	30.816089	13.506048	421.010730	2305385	0	star
10	6.330360	38.149226	14.784007	38.150315	14.778274	403.601145	2210053	0	star
11	6.330360	26.027421	21.203023	26.024405	21.171397	349.942108	1916225	0	star
12	6.330360	27.081491	25.297680	27.087742	25.294119	298.099597	1632344	0	star
13	6.330360	18.932719	21.378702	18.926766	21.353996	326.097887	1785658	0	star
14	6.330360	19.608405	18.689472	19.627690	18.659226	348.366275	1907596	0	star
15	6.330360	39.622221	21.689517	39.635527	21.649865	347.131394	1900834	0	star
16	6.330360	40.108715	17.716484	40.091405	17.714190	352.464098	1930035	0	star
17	6.330360	29.716666	20.648961	29.713512	20.629107	348.649884	1909149	0	star
18	6.330360	31.054524	27.176087	31.051541	27.156407	261.730892	1433195	0	star
19	6.330360	37.216779	8.202827	37.211412	8.209644	329.593245	1804798	0	star
20	6.330360	33.054554	15.000227	33.066812	15.004196	374.989432	2053380	0	star
21	6.330360	28.405835	11.243413	28.396252	11.261259	371.831192	2036086	0	star
22	6.330360	14.473192	15.338070	14.473108	15.352804	318.494662	1744024	0	star
23	6.330360	20.716530	8.824458	20.712487	8.844619	333.881541	1828280	0	star
24	6.330360	18.567848	7.878498	18.561438	7.887915	315.196352	1725963	0	star
