0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.590213	5.477949	41.588525	5.476261	0.010396	57	0.013505	corner
2	0	13.567984	5.604558	13.565732	5.611311	0.008207	45	0.013505	corner
3	0	13.707535	30.305131	13.714287	30.311883	0.008025	44	0.054020	corner
4	0	41.534505	30.197091	41.534505	30.203843	0.006931	38	0.054020	corner
5	0	0	0	27.600762	17.900825	0	0	0	center
6	6.322157	31.412537	8.143491	31.411950	8.153797	431.570213	2366273	0	star
7	6.322157	24.687067	23.957799	24.689082	23.915547	340.221389	1865413	0	star
8	6.322157	21.783501	16.624606	21.793625	16.610074	419.318936	2299100	0	star
9	6.322157	31.534082	12.654148	31.535660	12.645485	408.127857	2237740	0	star
10	6.322157	38.219037	15.665754	38.217220	15.671017	386.140560	2117185	0	star
11	6.322157	31.236973	20.568054	31.229879	20.569252	379.088685	2078520	0	star
12	6.322157	22.904412	15.112050	22.910217	15.119683	407.757071	2235707	0	star
13	6.322157	22.580293	11.074067	22.580218	11.100643	400.854932	2197863	0	star
14	6.322157	40.609415	17.367379	40.549755	17.367324	342.111616	1875777	0	star
