 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,38.000,38,38,325.301,130.890,325.244,130.947,27,0,4,corner
2,0.000,20.000,20,20,1038.516,129.758,1038.573,129.928,27,0,4,corner
3,0.000,13.000,13,13,1042.140,767.678,1042.309,767.848,27,0,4,corner
4,0.000,36.000,36,36,328.131,769.036,328.301,769.206,27,0,4,corner
5,1979.507,27.608,0,98,549.603,712.650,549.676,712.123,0,0,0,star
6,1763.972,31.568,0,126,705.177,610.066,704.741,609.986,0,0,0,star
7,1914.431,32.805,0,120,597.838,544.168,597.547,544.397,0,0,0,star
8,1774.587,36.079,1,120,771.075,372.969,770.792,372.810,0,0,0,star
9,1175.058,25.829,0,96,855.315,674.605,855.133,674.551,0,0,0,star
10,583.606,33.138,1,96,839.011,758.676,838.409,758.185,0,0,0,star
