 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,74.000,74,74,324.734,132.475,324.904,132.645,7,0,4,corner
2,0.000,60.000,60,60,1038.743,128.852,1038.913,128.909,7,0,4,corner
3,0.000,18.000,18,18,1043.272,767.678,1043.328,767.848,7,0,4,corner
4,0.000,42.000,42,42,328.131,767.338,328.301,767.508,7,0,4,corner
5,2555.960,87.590,0,169,487.441,736.087,487.946,735.601,0,0,0,star
6,2049.660,79.953,0,167,623.653,694.816,623.750,694.489,0,0,0,star
7,1261.365,94.107,0,162,772.433,443.623,772.543,443.415,0,0,0,star
8,1531.360,92.743,0,163,935.140,352.249,935.057,352.249,0,0,0,star
9,1173.674,91.444,0,181,1036.705,532.279,1036.964,532.022,0,0,0,star
10,418.609,85.393,0,167,1040.781,602.933,1041.016,602.508,0,0,0,star
