 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,26.000,26,26,325.640,131.343,325.584,131.286,26,0,4,corner
2,0.000,28.000,28,28,1038.516,129.758,1038.573,129.928,26,0,4,corner
3,0.000,14.000,14,14,1042.140,767.678,1042.309,767.848,26,0,4,corner
4,0.000,21.000,21,21,328.358,768.584,328.301,768.527,26,0,4,corner
5,2080.583,30.556,0,85,557.755,696.345,557.605,696.036,0,0,0,star
6,1721.973,33.881,0,99,718.764,597.158,718.507,596.714,0,0,0,star
7,1763.972,35.747,0,97,610.066,529.901,609.898,529.993,0,0,0,star
8,1979.507,38.770,2,94,781.944,358.023,781.898,357.869,0,0,0,star
9,1706.165,27.233,0,104,869.072,663.905,868.853,664.046,0,0,0,star
10,1184.058,34.429,0,108,847.163,752.562,846.163,752.356,0,0,0,star
