 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,104.000,104,104,324.734,131.456,324.904,131.626,4,0,4,corner
2,0.000,105.000,105,105,1037.724,129.418,1037.894,129.588,4,0,4,corner
3,0.000,65.000,65,65,1043.498,767.678,1043.668,767.848,4,0,4,corner
4,0.000,77.000,77,77,327.112,766.998,327.282,767.168,4,0,4,corner
5,2260.926,111.509,0,185,517.163,692.778,517.554,691.951,0,0,0,star
6,965.523,99.804,0,187,589.346,756.129,589.411,755.689,0,0,0,star
7,1878.893,103.409,0,189,653.545,652.526,653.500,652.343,0,0,0,star
8,2105.044,93.428,0,185,771.754,731.332,771.819,731.105,0,0,0,star
9,1375.824,113.151,4,186,804.363,395.218,804.150,395.122,0,0,0,star
10,1134.790,112.395,4,187,963.843,311.996,963.650,311.988,0,0,0,star
