 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,81.000,81,81,324.508,131.796,324.565,131.966,8,0,4,corner
2,0.000,53.000,53,53,1039.082,129.418,1039.252,129.588,8,0,4,corner
3,0.000,9.000,9,9,1042.140,766.319,1042.309,766.489,8,0,4,corner
4,0.000,40.000,40,40,327.112,768.017,327.282,768.187,8,0,4,corner
5,2257.349,82.527,0,162,476.402,744.919,476.799,744.875,0,0,0,star
6,2173.812,76.042,0,173,613.803,709.932,613.947,709.134,0,0,0,star
7,1531.360,89.554,0,156,758.167,454.492,758.045,454.258,0,0,0,star
8,1726.473,84.911,0,154,926.139,369.402,926.135,369.468,0,0,0,star
9,1629.090,80.659,0,160,1030.081,539.582,1029.968,539.184,0,0,0,star
10,736.950,78.964,0,160,1036.195,612.953,1036.109,612.743,0,0,0,star
