 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,59.000,59,59,325.074,131.456,325.244,131.626,8,0,4,corner
2,0.000,37.000,37,37,1038.516,129.531,1038.573,129.588,8,0,4,corner
3,0.000,46.000,46,46,1041.460,767.225,1041.630,767.168,8,0,4,corner
4,0.000,37.000,37,37,328.131,768.357,328.301,768.527,8,0,4,corner
5,1775.510,43.835,13,72,438.867,612.784,439.088,612.462,0,0,0,star
6,1924.124,52.244,17,82,594.441,573.381,594.773,572.812,0,0,0,star
7,1775.510,57.274,25,83,702.459,372.290,702.476,372.393,0,0,0,star
8,1386.440,55.970,24,79,651.507,326.773,651.570,326.707,0,0,0,star
9,2039.506,43.896,18,71,870.941,512.917,870.831,512.678,0,0,0,star
10,1929.662,39.973,14,68,803.005,656.942,802.905,656.632,0,0,0,star
11,1721.973,40.751,13,80,1014.965,742.541,1014.590,742.653,0,0,0,star
