0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.871863	5.159492	40.877491	5.166245	0.014594	80	0.621300	corner
2	0	12.869465	5.315942	12.864963	5.314817	0.004196	23	0.621300	corner
3	0	40.969785	29.833657	40.972037	29.829156	0.014047	77	0.621300	corner
4	0	13.058556	29.986733	13.054054	29.991234	0.016783	92	0.621300	corner
5	0	13.058556	29.986733	26.942136	17.575363	0.016783	92	0.621300	center
6	6.323620	30.295131	23.528363	30.294876	23.515676	415.184791	2275906	0	star
7	6.323620	34.590205	19.949134	34.595370	19.924109	393.842937	2158917	0	star
8	6.323620	30.214092	15.573021	30.211460	15.582262	421.667852	2311444	0	star
9	6.323620	38.277486	22.569400	38.271501	22.572337	370.741218	2032281	0	star
10	6.323620	18.139260	25.662393	18.141584	25.669668	338.430809	1855166	0	star
11	6.323620	19.760043	25.189665	19.756279	25.170575	327.869611	1797273	0	star
12	6.323620	28.161100	27.053565	28.171614	27.041571	321.159977	1760493	0	star
13	6.323620	24.217195	13.263405	24.217622	13.278933	396.578600	2173913	0	star
14	6.323620	23.217713	19.084717	23.225311	19.078136	409.255759	2243405	0	star
