0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.376471	5.687586	41.372248	5.682518	0.003835	21	0.040541	corner
2	0	13.379425	6.041899	13.385338	6.047389	0.005296	29	0.040541	corner
3	0	13.696153	30.735262	13.696153	30.736951	0.009131	50	0.040541	corner
4	0	41.676306	30.531992	41.683063	30.534246	0.008583	47	0.040541	corner
5	0	0	0	27.534200	18.250276	0	0	0	center
6	6.330360	20.635447	14.162376	20.638503	14.142358	434.333814	2378340	0	star
7	6.330360	27.730149	12.189374	27.736745	12.209839	446.028835	2442380	0	star
8	6.330360	28.162588	13.865075	28.146750	13.828869	421.974601	2310663	0	star
9	6.330360	35.392427	15.351584	35.387437	15.338035	414.560754	2270066	0	star
10	6.330360	39.554652	13.824533	39.537991	13.793901	397.777923	2178166	0	star
11	6.330360	23.027375	21.419243	23.027272	21.395212	332.297673	1819607	0	star
12	6.330360	24.067932	25.446331	24.057437	25.438291	295.657412	1618971	0	star
13	6.330360	16.865120	18.797582	16.858985	18.755905	338.892832	1855721	0	star
14	6.330360	15.824564	21.040859	15.833552	21.074469	302.007312	1653742	0	star
15	6.330360	36.635689	22.284121	36.655772	22.235114	348.996863	1911049	0	star
16	6.330360	37.041101	21.405729	36.988334	21.515604	376.910418	2063899	0	star
17	6.330360	26.594997	21.378702	26.596662	21.356330	328.020151	1796184	0	star
18	6.330360	27.932855	27.432847	27.932141	27.418946	253.765531	1389578	0	star
19	6.330360	25.622009	11.702880	25.619689	11.696814	369.274139	2022084	0	star
20	6.330360	17.919190	9.027164	17.922691	9.020685	320.157240	1753128	0	star
21	6.330360	30.446407	8.337964	30.447408	8.367101	338.976290	1856178	0	star
22	6.330360	34.581604	8.608238	34.580622	8.626594	347.844162	1904737	0	star
23	6.330360	30.405865	15.311042	30.411332	15.332707	384.417585	2105007	0	star
