0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.384110	5.438772	41.390852	5.441019	0.003818	21	0.458475	corner
2	0	13.400280	5.918036	13.396909	5.912979	0.004000	22	0.458475	corner
3	0	13.805940	30.582979	13.801446	30.589721	0.012728	70	0.458475	corner
4	0	41.651553	30.142482	41.647059	30.144730	0.008910	49	0.458475	corner
5	0	0	0	27.559066	18.022112	0	0	0	center
6	6.303070	37.244350	23.611462	37.247491	23.593461	392.245194	2157169	0	star
7	6.303070	37.001628	20.145930	37.006030	20.133398	382.160355	2101707	0	star
8	6.303070	25.917321	6.580465	25.917436	6.688983	336.764758	1852052	0	star
9	6.303070	14.967860	19.377311	14.983869	19.366003	350.968304	1930165	0	star
10	6.303070	18.082793	28.843471	18.099418	28.774015	268.556717	1476939	0	star
11	6.303070	14.388024	11.731566	14.200430	11.725181	407.124432	2238998	0	star
12	6.303070	24.744165	10.544925	24.750415	10.553639	369.916245	2034370	0	star
13	6.303070	32.039311	17.826586	32.049003	17.845494	378.213299	2080000	0	star
14	6.303070	40.966089	24.595835	40.876225	24.577179	277.637655	1526880	0	star
15	6.303070	32.956261	27.872582	32.956026	27.863943	291.425530	1602707	0	star
16	6.303070	26.240951	29.005285	26.240977	28.898317	254.460089	1399414	0	star
17	6.303070	22.236037	18.217638	22.231713	18.219472	371.728032	2044334	0	star
18	6.303070	30.057081	15.709511	30.068532	15.703966	377.215943	2074515	0	star
