0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.253005	5.274276	40.259745	5.277646	0.003635	20	0.026961	corner
2	0	12.253424	5.662264	12.247105	5.668583	0.004180	23	0.026961	corner
3	0	12.616698	30.352643	12.611080	30.351520	0.007269	40	0.026961	corner
4	0	40.506888	29.962832	40.502395	29.960584	0.008541	47	0.026961	corner
5	0	0	0	26.405081	17.814583	0	0	0	center
6	6.299349	28.228330	8.492764	28.236937	8.491520	404.639410	2226646	0	star
7	6.299349	26.961155	20.274789	26.959601	20.255166	382.077949	2102495	0	star
8	6.299349	23.725817	26.772427	23.728185	26.777598	281.107182	1546874	0	star
9	6.299349	22.957424	18.630158	22.957157	18.616455	401.843374	2211260	0	star
10	6.299349	18.562755	23.240516	18.572291	23.227485	314.825709	1732420	0	star
11	6.299349	39.915990	23.752778	39.771920	23.723931	252.729218	1390716	0	star
