0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.253005	5.274276	40.259745	5.277646	0.003635	20	0.026961	corner
2	0	12.253424	5.662264	12.247105	5.668583	0.004180	23	0.026961	corner
3	0	12.616698	30.352643	12.611080	30.351520	0.007269	40	0.026961	corner
4	0	40.506888	29.962832	40.502395	29.960584	0.008541	47	0.026961	corner
5	0	0	0	26.405081	17.814583	0	0	0	center
6	6.299349	16.999008	20.760090	16.992903	20.739962	380.509654	2093865	0	star
7	6.299349	15.179130	17.416906	15.172940	17.402438	387.047064	2129839	0	star
8	6.299349	29.212412	15.273494	29.203025	15.260232	456.155089	2510126.000000	0	star
9	6.299349	31.450188	14.235490	31.448613	14.229966	432.557971	2380276	0	star
10	6.299349	34.672046	20.409594	34.661096	20.393121	368.493205	2027741	0	star
11	6.299349	36.815457	27.379053	36.807019	27.383173	254.215918	1398897	0	star
