 ,Label,Area,X,Y,XM,YM,IntDen,RawIntDen,Slice
1,corner,0,1403.661138,933.682563,1403.893532,933.527614,8.209076,38,49.267576
2,corner,0,476.582463,929.054025,476.640562,928.879730,8.425104,39,49.267576
3,corner,0,477.570139,177.781584,477.570139,177.781584,17.714321,82,49.267576
4,corner,0,1409.703388,180.570315,1409.935782,180.570315,2.376311,11,49.267576
5,center,0,0,0,942.010004,555.189811,0,0,0
6,star,7488.405303,955.140277,482.915206,955.342004,479.786971,948885.336758,4392412,0
7,star,7488.405303,826.858664,259.351959,826.914334,259.147051,990639.072292,4585691,0
8,star,7488.405303,594.464435,1005.337431,594.804861,1002.324474,549177.445847,2542155,0
9,star,7488.405303,832.436125,1033.224738,832.528681,1035.531611,595640.814545,2757235,0
10,star,7488.405303,1232.618986,854.281182,1232.453415,853.653468,708431.570981,3279346,0
