0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.253005	5.274276	40.259745	5.277646	0.003635	20	0.026961	corner
2	0	12.253424	5.662264	12.247105	5.668583	0.004180	23	0.026961	corner
3	0	12.616698	30.352643	12.611080	30.351520	0.007269	40	0.026961	corner
4	0	40.506888	29.962832	40.502395	29.960584	0.008541	47	0.026961	corner
5	0	0	0	26.405081	17.814583	0	0	0	center
6	6.299349	16.365421	21.434118	16.360876	21.401594	366.202368	2015135	0	star
7	6.299349	14.437699	18.104416	14.445969	18.062523	371.158035	2042405	0	star
8	6.299349	28.457499	16.230615	28.455335	16.210179	457.556196	2517836	0	star
9	6.299349	30.722236	15.192611	30.722664	15.184319	429.984550	2366115	0	star
10	6.299349	34.186745	20.773570	34.173611	20.759092	375.186718	2064574	0	star
