0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.590213	5.477949	41.588525	5.476261	0.010396	57	0.013505	corner
2	0	13.567984	5.604558	13.565732	5.611311	0.008207	45	0.013505	corner
3	0	13.707535	30.305131	13.714287	30.311883	0.008025	44	0.054020	corner
4	0	41.534505	30.197091	41.534505	30.203843	0.006931	38	0.054020	corner
5	0	0	0	27.600762	17.900825	0	0	0	center
6	6.322157	28.576496	8.454105	28.573788	8.448097	407.095199	2232078	0	star
7	6.322157	21.499897	23.863265	21.510084	23.835900	321.535606	1762960	0	star
8	6.322157	18.893439	16.692131	18.896677	16.671569	377.238947	2068378	0	star
9	6.322157	28.698040	12.910742	28.693119	12.911175	385.750623	2115047	0	star
10	6.322157	35.180421	16.341002	35.180485	16.333128	368.483970	2020375	0	star
11	6.322157	28.400931	20.797639	28.394359	20.777989	361.939669	1984493	0	star
12	6.322157	20.108886	15.233595	20.113646	15.242110	370.190537	2029732	0	star
13	6.322157	19.784767	12.019415	19.790894	12.021143	358.302204	1964549	0	star
14	6.322157	40.974049	27.671663	40.912343	27.645049	250.440154	1373148.000000	0	star
