0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.590213	5.477949	41.588525	5.476261	0.010396	57	0.013505	corner
2	0	13.567984	5.604558	13.565732	5.611311	0.008207	45	0.013505	corner
3	0	13.707535	30.305131	13.714287	30.311883	0.008025	44	0.054020	corner
4	0	41.534505	30.197091	41.534505	30.203843	0.006931	38	0.054020	corner
5	0	0	0	27.600762	17.900825	0	0	0	center
6	6.322157	25.375820	16.462546	25.378303	16.449341	496.731621	2723549	0	star
7	6.322157	28.063307	23.620175	28.071144	23.588240	403.877946	2214438	0	star
8	6.322157	34.775272	7.859887	34.771410	7.866714	472.748679	2592052.000000	0	star
9	6.322157	26.388692	14.977001	26.390889	14.977103	485.301619	2660879	0	star
10	6.322157	34.815787	12.100444	34.819022	12.102357	465.969832	2554884	0	star
11	6.322157	34.289094	20.351975	34.293387	20.332676	441.986343	2423384	0	star
12	6.322157	14.801436	16.584091	14.832718	16.577549	410.809813	2252445	0	star
13	6.322157	26.429207	7.684322	26.428754	7.685493	465.402071	2551771	0	star
