0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.376471	5.687586	41.372248	5.682518	0.003835	21	0.040541	corner
2	0	13.379425	6.041899	13.385338	6.047389	0.005296	29	0.040541	corner
3	0	13.696153	30.735262	13.696153	30.736951	0.009131	50	0.040541	corner
4	0	41.676306	30.531992	41.683063	30.534246	0.008583	47	0.040541	corner
5	0	0	0	27.534200	18.250276	0	0	0	center
6	6.330360	15.297529	14.189404	15.310387	14.185390	407.317109	2230401	0	star
7	6.330360	22.743587	14.148863	22.735153	14.114504	422.986502	2316204	0	star
8	6.330360	22.473313	12.581271	22.486948	12.599751	428.073033	2344057	0	star
9	6.330360	30.054509	16.135379	30.034162	16.100383	432.785191	2369860	0	star
10	6.330360	34.216734	14.770494	34.213229	14.745810	429.215507	2350313	0	star
11	6.330360	17.365128	21.594921	17.371284	21.553383	327.621856	1794003	0	star
12	6.330360	18.081355	25.811201	18.081214	25.804162	280.166987	1534148	0	star
13	6.330360	29.622070	9.419061	29.613411	9.427908	370.847598	2030700	0	star
14	6.330360	31.730210	19.094883	31.721698	19.088529	379.620507	2078739	0	star
15	6.330360	30.959928	23.081430	30.984363	23.020794	356.039626	1949614	0	star
16	6.330360	31.230202	22.162497	31.199249	22.271157	386.410340	2115919	0	star
17	6.330360	32.757252	22.121956	32.711127	22.105906	322.484191	1765870	0	star
18	6.330360	34.743769	12.162346	34.747183	12.163127	368.956562	2020345	0	star
19	6.330360	20.959777	21.230051	20.961636	21.212214	327.759369	1794756	0	star
20	6.330360	20.392200	11.919099	20.398500	11.915952	352.531119	1930402	0	star
21	6.330360	38.000575	24.932810	38.008073	24.926861	284.799340	1559514	0	star
22	6.330360	41.000620	25.878770	40.851526	25.893306	236.056083	1292604	0	star
