0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	41.376471	5.687586	41.372248	5.682518	0.003835	21	0.040541	corner
2	0	13.379425	6.041899	13.385338	6.047389	0.005296	29	0.040541	corner
3	0	13.696153	30.735262	13.696153	30.736951	0.009131	50	0.040541	corner
4	0	41.676306	30.531992	41.683063	30.534246	0.008583	47	0.040541	corner
5	0	0	0	27.534200	18.250276	0	0	0	center
6	6.330360	22.027360	14.067780	22.034664	14.068532	442.339900	2422180	0	star
7	6.330360	29.230172	12.067750	29.225840	12.091733	440.001443	2409375	0	star
8	6.330360	29.581529	13.675883	29.569947	13.650429	421.222570	2306545	0	star
9	6.330360	36.878936	15.067796	36.864777	15.051099	411.044212	2250810	0	star
10	6.330360	40.662777	13.581287	40.552961	13.554984	339.878801	1861120	0	star
11	6.330360	24.527398	21.297619	24.528244	21.270430	340.486014	1864445	0	star
12	6.330360	25.284166	25.405790	25.313415	25.389711	296.810843	1625287	0	star
13	6.330360	17.284045	21.324647	17.294185	21.320995	320.981772	1757643	0	star
14	6.330360	18.297574	18.635417	18.304349	18.619986	339.792969	1860650	0	star
15	6.330360	38.054630	21.824655	38.082542	21.795192	351.891400	1926899	0	star
16	6.330360	28.013937	21.027345	28.015773	21.009832	340.473961	1864379	0	star
17	6.330360	35.987031	8.540670	35.978141	8.534097	346.888144	1899502	0	star
18	6.330360	26.797703	11.270441	26.795186	11.275349	364.635576	1996684	0	star
