 ,Label,Area,X,Y,XM,YM,IntDen,RawIntDen,Slice
1,corner,0,1403.661138,933.682563,1403.893532,933.527614,8.209076,38,49.267576
2,corner,0,476.582463,929.054025,476.640562,928.879730,8.425104,39,49.267576
3,corner,0,477.570139,177.781584,477.570139,177.781584,17.714321,82,49.267576
4,corner,0,1409.703388,180.570315,1409.935782,180.570315,2.376311,11,49.267576
5,center,0,0,0,942.010004,555.189811,0,0,0
6,star,7488.405303,1236.802082,792.929106,1236.676385,792.440983,751188.758010,3477270,0
7,star,7488.405303,512.196879,679.985511,512.561313,679.456502,778779.893635,3604990,0
8,star,7488.405303,1317.210485,654.886935,1316.877079,654.507802,804363.262156,3723416,0
9,star,7488.405303,1229.365467,681.379877,1228.888737,681.027548,814504.279065,3770359,0
10,star,7488.405303,1359.506234,1035.548680,1359.323000,1039.106897,609343.490184,2820665,0
