0	Area	X	Y	XM	YM	IntDen	RawIntDen	Slice	Label
1	0	40.253005	5.274276	40.259745	5.277646	0.003635	20	0.026961	corner
2	0	12.253424	5.662264	12.247105	5.668583	0.004180	23	0.026961	corner
3	0	12.616698	30.352643	12.611080	30.351520	0.007269	40	0.026961	corner
4	0	40.506888	29.962832	40.502395	29.960584	0.008541	47	0.026961	corner
5	0	0	0	26.405081	17.814583	0	0	0	center
6	6.299349	21.717211	15.718353	21.723422	15.712311	443.159683	2438615.000000	0	star
7	6.299349	19.843410	12.469534	19.840630	12.449203	397.407988	2186853	0	star
8	6.299349	33.364430	10.069991	33.375463	10.073167	394.239233	2169416	0	star
