 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,61.000,61,61,327.225,132.022,327.282,131.966,18,0,4,corner
2,0.000,42.000,42,42,1039.082,129.418,1039.252,129.588,18,0,4,corner
3,0.000,45.000,45,45,1041.800,768.017,1041.970,768.187,18,0,4,corner
4,0.000,41.000,41,41,327.452,768.357,327.622,768.527,18,0,4,corner
5,1819.356,49.733,0,121,644.034,587.647,644.059,587.414,0,0,0,star
6,1771.818,51.714,0,128,806.401,489.819,806.186,489.793,0,0,0,star
7,1462.131,56.625,2,126,705.177,421.204,705.075,421.396,0,0,0,star
8,1471.823,42.178,0,137,957.899,566.077,957.683,565.934,0,0,0,star
9,2375.039,48.496,0,136,928.347,663.396,928.025,662.020,0,0,0,star
10,2329.809,45.293,2,126,946.689,732.181,946.236,731.648,0,0,0,star
