 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,57.000,57,57,325.414,132.475,325.584,132.645,5,0,4,corner
2,0.000,66.000,66,66,1037.611,128.852,1037.554,128.909,5,0,4,corner
3,0.000,21.000,21,21,1042.819,766.998,1042.989,767.168,5,0,4,corner
4,0.000,79.000,79,79,328.471,769.036,328.641,769.206,5,0,4,corner
5,2312.733,104.906,0,183,507.143,707.554,507.705,706.743,0,0,0,star
6,1850.740,98.698,0,181,643.694,663.056,643.731,662.529,0,0,0,star
7,1721.973,86.002,0,177,762.583,743.900,763.040,743.450,0,0,0,star
8,2158.351,103.316,0,183,790.776,417.297,790.827,416.929,0,0,0,star
9,1725.665,101.231,0,185,957.899,328.811,957.689,328.484,0,0,0,star
10,2260.118,84.916,0,183,924.610,637.920,924.420,638.001,0,0,0,star
