 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,4.000,4,4,333.651,135.600,333.824,135.772,29,0,2,corner
2,0.000,7.000,7,7,1051.675,137.670,1051.847,137.843,29,0,2,corner
3,0.000,7.000,7,7,1052.365,779.785,1052.537,779.958,29,0,2,corner
4,0.000,8.000,8,8,332.271,776.680,332.444,776.852,29,0,2,corner
5,1840.052,22.578,2,53,599.330,605.369,599.908,604.528,0,0,0,star
6,1704.334,22.956,6,51,821.880,342.967,821.551,342.685,0,0,0,star
7,1642.427,16.803,2,42,1003.542,424.396,1003.350,424.140,0,0,0,star
