2 1 64.0077 0.0049 64.0155 0.0033 64.0049 0.0030 10.7370 0.0040 10.7579 0.0042 10.7617 0.0034 -0.2305 0.0347 3.0000 6.0981 0.0016 6.0993 0.0018 
2 2 46.1405 0.0208 46.1036 0.0077 46.1066 0.0064 25.9138 0.0181 25.9312 0.0080 25.9326 0.0085 0.1099 0.1072 3.0000 6.1830 0.0055 6.1827 0.0053 
2 3 45.9962 0.0087 46.0099 0.0085 46.0112 0.0090 10.7781 0.0073 10.7963 0.0067 10.7968 0.0076 -0.0195 0.0672 3.0000 6.0894 0.0049 6.0859 0.0055 
2 4 28.2882 0.0369 28.2446 0.0117 28.2444 0.0138 25.9681 0.0267 25.9368 0.0119 25.9319 0.0111 -0.0855 0.1045 3.0000 6.1750 0.0065 6.1724 0.0062 
2 5 28.1142 0.0058 28.1054 0.0053 28.1047 0.0047 10.6713 0.0061 10.6871 0.0049 10.6853 0.0055 -0.0258 0.0600 3.0000 6.0939 0.0037 6.0977 0.0031 
2 6 10.0879 0.0332 10.1754 0.0114 10.1858 0.0092 25.7114 0.0331 25.7494 0.0123 25.7244 0.0110 0.3514 0.0688 3.0000 6.1670 0.0056 6.1642 0.0043 
2 7 10.3529 0.0095 10.3530 0.0089 10.3494 0.0071 10.9168 0.0098 10.9165 0.0095 10.9146 0.0080 0.1115 0.0875 3.0000 6.0804 0.0070 6.0772 0.0055 
2 8 352.1695 0.0329 352.1640 0.0089 352.1584 0.0085 25.8836 0.0280 25.9182 0.0150 25.8945 0.0092 0.2802 0.1041 3.0000 6.1771 0.0047 6.1711 0.0046 
2 9 352.1835 0.0133 352.2264 0.0092 352.2243 0.0079 10.7208 0.0082 10.7286 0.0059 10.7451 0.0116 -0.2476 0.1044 3.0000 6.1085 0.0055 6.1084 0.0052 
2 10 334.2246 0.0338 334.1788 0.0116 334.1661 0.0248 25.9398 0.0394 25.9815 0.0200 26.0060 0.0500 0.0785 0.1333 3.0000 6.1822 0.0125 6.1733 0.0368 
2 11 334.2202 0.0285 334.2073 0.0083 334.1968 0.0099 10.5526 0.0154 10.6174 0.0096 10.6154 0.0074 -0.2247 0.0623 3.0000 6.1257 0.0062 6.1258 0.0064 
