 pmt #,X,Y
17,547.255,476.675
18,721.837,465.896
19,898.03,452.236
20,1072.088,441.015
21,1250.023,433.512
22,1426.647,425.142
23,1601.878,417.646
24,1775.919,405.713
25,1959.347,392.52
26,2135.999,386.042
27,2309.699,376.338
28,2486.772,368.712
29,2661.48,357.448
30,2841.036,348.076
31,3015.631,338.925
32,3192.484,334.337
48,3287.934,477.544
64,3211.378,637.611
80,3309.35,786.462
96,3224.241,945.692
112,3324.156,1088.349
128,3243.411,1251.402
144,3340.399,1399.75
160,3258.208,1554.837
176,3357.102,1700.197
192,3277.426,1862.273
208,3374.167,2011.109
224,3293.093,2166.823
240,3390.535,2312.993
239,3212.598,2327.234
238,3035.405,2335.881
237,2861.144,2344.459
236,2683.323,2354.199
235,2506.265,2362.835
234,2332.03,2371.855
233,2152.885,2384.435
232,1977.522,2391.523
231,1800.193,2401.896
230,1624.604,2406.105
229,1451.46,2420.633
228,1271.171,2430.401
227,1098.158,2437.682
226,920.305,2444.267
225,739.662,2456.22
209,652.514,2303.83
193,724.305,2150.464
177,626.814,1991.816
161,709.619,1840.357
145,613.886,1692.229
129,691.609,1540.747
113,596.914,1390.597
97,672.962,1228.615
81,579.911,1083.502
65,664.88,925.565
49,565.105,779.783
33,645.757,622.705
136,1927.697,1472.296
137,2106.15,1466.147
120,1834.808,1324.153
,,
,x,y
1,0,0
2,0,0
3,0,0
4,0,0
