Pmt#,X,Y
17,585.708,375.104
18,765.626,379.102
19,942.43,378.524
20,1120.811,374.936
21,1299.16,378.527
22,1475.995,377.028
23,1656.305,380.567
24,1835.329,378.74
25,2017.433,379.242
26,2192.217,376.05
27,2375.009,378.207
28,2551.167,381.6
29,2732.067,377.753
30,2913.791,383.546
31,3086.478,383.902
32,3261.624,381.221
48,3356.301,535.988
64,3265.907,690.723
80,3352.333,847.153
96,3262.183,1003.169
112,3354.547,1156.804
128,3259.569,1309.583
144,3350.987,1464.937
160,3255.811,1620.235
176,3347.352,1778.564
192,3256.121,1929.802
208,3347.4,2087.908
224,3255.699,2240.133
240,3345.672,2393.036
239,3169.656,2394.193
238,2992.857,2395.951
237,2814.395,2395.82
236,2637.898,2396.503
235,2455.115,2395.563
234,2278.332,2393.357
233,2099.352,2392.124
232,1920.18,2392.504
231,1745.236,2390.504
230,1561.049,2392.038
229,1387.543,2390.606
228,1207.722,2391.435
227,1028.519,2394.819
226,851.771,2387.877
225,674.559,2388.432
209,585.957,2227.044
193,672.021,2077.729
177,581.333,1923.149
161,674.47,1765.272
145,585.484,1612.274
129,670.312,1455.817
113,585.434,1303.288
97,674.047,1149.136
81,583.901,999.585
65,675.035,844.045
49,583.709,684.472
33,677.756,529.316
136,1923.069,1465.297
137,2105.492,1464.574
120,1833.639,1306.445
,,
,x,y
1,0,0
2,0,0
3,0,0
4,0,0
