results/m26.t1.img_0012.jaz.stars.txt:1 26 2018/09/21 10:37:43.00 30 HD089758 13.3070 46.7420 -14.3561 4.9307 -13.8980 4.8144 0.4726
results/m26.t1.img_0023.jaz.stars.txt:1 26 2018/09/21 10:59:43.00 30 HD103287 13.7750 29.4580 14.1140 5.8512 13.6635 5.7203 0.4692
results/m27.t1.img_0042.jaz.stars.txt:1 27 2018/09/20 10:33:48.00 30 HD089021 13.8710 45.3150 14.1807 7.1136 13.7185 7.0861 0.4630
results/m28.t2.img_0020.jaz.stars.txt:1 28 2018/09/21 07:33:20.00 30 HD037202 17.6390 76.7270 -11.1191 12.2636 -11.0842 11.8028 0.4622
results/m27.t1.img_0062.jaz.stars.txt:1 27 2018/09/20 11:13:49.00 30 HD090277 12.6930 56.5410 -4.3209 4.9237 -4.6908 5.2005 0.4620
results/m27.t1.img_0042.jaz.stars.txt:1 27 2018/09/20 10:33:48.00 30 HD080493 17.0940 59.2760 -8.7025 12.4977 -8.6718 12.0389 0.4598
results/m27.t1.img_0037.jaz.stars.txt:1 27 2018/09/20 10:23:47.00 30 HD080081 17.2410 56.2540 -3.7805 12.6413 -3.7930 12.1840 0.4575
results/m26.t1.img_0006.jaz.stars.txt:1 26 2018/09/21 10:25:42.00 30 HD095418 17.4650 29.5780 13.7139 12.1569 13.2943 11.9782 0.4561
results/m25.t1.img_0090.jaz.stars.txt:1 25 2018/09/21 10:04:6.00 30 HD112185 7.5350 13.6550 14.3612 -3.9519 13.9102 -4.0128 0.4551
results/m26.t1.img_0005.jaz.stars.txt:1 26 2018/09/21 10:23:42.00 30 HD095418 17.2750 29.3650 14.0742 11.8464 13.6888 11.6075 0.4534
results/m27.t1.img_0037.jaz.stars.txt:1 27 2018/09/20 10:23:47.00 30 HD090537 6.7580 47.1250 11.3889 -5.0390 11.0408 -5.2692 0.4173
results/m26.t1.img_0022.jaz.stars.txt:1 26 2018/09/21 10:57:43.00 30 HD094334 12.8450 43.9880 -9.7887 4.0356 -10.0920 3.7499 0.4167
results/m28.t2.img_0017.jaz.stars.txt:1 28 2018/09/21 07:27:20.00 30 HD048329 7.0220 63.0620 11.7564 -5.8853 11.4872 -6.1886 0.4055
results/m28.t2.img_0045.jaz.stars.txt:1 28 2018/09/21 08:28:12.00 30 HD048329 17.8580 71.7630 -2.9676 12.4868 -3.0320 12.0865 0.4054
results/m26.t1.img_0013.jaz.stars.txt:1 26 2018/09/21 10:39:43.00 30 HD089021 15.2390 46.5350 -13.9361 8.2134 -13.5451 8.1616 0.3945
results/m25.t1.img_0078.jaz.stars.txt:1 25 2018/09/21 09:36:36.00 30 HD095689 17.4220 20.6960 2.3265 12.7805 2.3548 12.3955 0.3860
results/m27.t1.img_0041.jaz.stars.txt:1 27 2018/09/20 10:31:48.00 30 HD089758 11.9370 45.4740 13.9934 3.8077 13.6240 3.7060 0.3831
results/m28.t2.img_0003.jaz.stars.txt:1 28 2018/09/21 06:59:19.00 30 HD035497 17.8170 67.1950 4.4904 12.4615 4.3764 12.0990 0.3800
results/m28.t2.img_0025.jaz.stars.txt:1 28 2018/09/21 07:43:20.00 30 HD045542 9.4170 71.4870 -2.5342 -1.9376 -2.4136 -1.6033 0.3554
results/m26.t1.img_0041.jaz.stars.txt:1 26 2018/09/21 11:39:31.00 30 HD103287 17.8220 33.9310 6.5930 12.4985 6.6429 12.1478 0.3542
results/m27.t1.img_0068.jaz.stars.txt:1 27 2018/09/20 11:29:46.00 30 HD094334 16.7380 47.4540 10.5370 11.9051 10.1982 11.8701 0.3407
results/m25.t1.img_0091.jaz.stars.txt:1 25 2018/09/21 10:06:6.00 30 HD112185 7.6270 13.9230 13.8964 -3.8035 13.5605 -3.8468 0.3386
results/m26.t1.img_0027.jaz.stars.txt:1 26 2018/09/21 11:07:44.00 30 HD094334 14.2050 45.2480 -11.8365 6.3867 -11.5114 6.3001 0.3364
results/m27.t1.img_0055.jaz.stars.txt:1 27 2018/09/20 10:59:49.00 30 HD090277 10.4640 54.6310 -1.1939 1.1441 -1.4594 0.9440 0.3325
results/m26.t1.img_0011.jaz.stars.txt:1 26 2018/09/21 10:35:42.00 30 HD089758 13.0240 46.4850 -13.9362 4.4364 -13.7002 4.2121 0.3256
results/m28.t2.img_0047.jaz.stars.txt:1 28 2018/09/21 08:32:12.00 30 HD056537 7.1100 74.3810 -7.4453 -5.8543 -7.4096 -6.1752 0.3228
results/m27.t1.img_0059.jaz.stars.txt:1 27 2018/09/20 11:07:49.00 30 HD089758 17.0900 49.9860 6.3894 12.4059 6.3392 12.0907 0.3192
results/m27.t1.img_0061.jaz.stars.txt:1 27 2018/09/20 11:11:49.00 30 HD090277 12.3710 56.2710 -3.8811 4.3758 -4.1497 4.5450 0.3175
results/m28.t2.img_0038.jaz.stars.txt:1 28 2018/09/21 08:14:11.00 30 HD044478 17.6150 74.9570 -8.2015 12.1428 -8.3242 11.8506 0.3169
results/m27.t1.img_0068.jaz.stars.txt:1 27 2018/09/20 11:29:46.00 30 HD095310 13.2240 49.7800 6.7939 5.8335 6.4856 5.9037 0.3162
results/m28.t2.img_0007.jaz.stars.txt:1 28 2018/09/21 07:07:19.00 30 HD042995 6.9150 66.4100 6.0535 -6.1513 5.8058 -5.9704 0.3068
results/m27.t1.img_0069.jaz.stars.txt:1 27 2018/09/20 11:31:46.00 30 HD090537 17.0490 56.2490 -3.7742 12.3135 -3.7612 12.0109 0.3029
results/m28.t2.img_0040.jaz.stars.txt:1 28 2018/09/21 08:18:11.00 30 HD047105 11.9440 78.4500 -14.2124 2.5284 -13.9264 2.5595 0.2876
results/m26.t1.img_0041.jaz.stars.txt:1 26 2018/09/21 11:39:31.00 30 HD096833 17.2800 46.1580 -13.2350 11.6877 -13.0297 11.4924 0.2834
results/m27.t1.img_0053.jaz.stars.txt:1 27 2018/09/20 10:55:49.00 30 HD089021 16.9680 48.0060 9.6237 12.2732 9.5500 12.0004 0.2826
results/m26.t1.img_0024.jaz.stars.txt:1 26 2018/09/21 11:01:43.00 30 HD103287 13.9650 29.6920 13.7126 6.1604 13.4554 6.0513 0.2794
results/m28.t2.img_0046.jaz.stars.txt:1 28 2018/09/21 08:30:12.00 30 HD056537 6.7410 74.0770 -6.9333 -6.4881 -7.1356 -6.6766 0.2765
