0 1 338.4492 0.0203 10.2579 0.0301 0.1306 0.9048 2.2930 0.0000 4.7313 0.0067  1000
0 2 340.5689 0.0280 23.9216 0.0310 0.9196 0.8086 2.2900 0.0000 4.7453 0.0101  1000
0 3 322.5121 0.0135 10.6574 0.0562 0.1529 0.9462 2.3100 0.0000 4.7546 0.0062  1000
0 4 323.7464 0.0162 23.8602 0.0139 0.2425 0.8159 2.2990 0.0000 4.7487 0.0061  1000
0 5 306.4133 0.0560 10.2315 0.0264 0.4310 0.9013 2.2990 0.0000 4.7509 0.0096  1000
0 6 307.0720 0.0187 23.7074 0.0368 0.2634 0.9137 2.3160 0.0000 4.7915 0.0064  1000
0 7 290.5364 0.0297 10.3888 0.0279 0.1963 0.8967 2.3190 0.0000 4.7870 0.0076  1000
0 8 290.4908 0.0363 23.7971 0.0182 0.3803 0.9137 2.3010 0.0000 4.7589 0.0056  1000
0 9 274.5235 0.0213 10.9036 0.0074 0.2999 0.8835 2.3030 0.0000 4.7359 0.0024  1000
0 10 273.9194 0.0227 24.1041 0.0086 0.4348 0.8612 2.2960 0.0000 4.7381 0.0030  1000
0 11 258.5837 0.0208 10.4288 0.0211 0.4760 0.9446 2.3010 0.0000 4.7403 0.0068  1000
0 12 257.2486 0.0216 24.2466 0.0157 0.8779 0.9119 2.2970 0.0000 4.7304 0.0043  1001
0 13 242.5543 0.0305 10.0818 0.0267 0.8472 1.1828 2.2990 0.0000 4.7384 0.0082  1000
0 14 240.5360 0.0305 24.3283 0.0248 0.6039 1.4299 2.3000 0.0000 4.7444 0.0125  1000
0 15 334.1673 0.0691 50.8217 0.0142 0.2142 0.8807 2.2780 0.0000 4.7555 0.0031  1000
0 16 327.3929 0.0239 37.0163 0.0086 0.1322 0.8369 2.2770 0.0000 4.7561 0.0047  1000
0 17 312.2984 0.0138 49.9712 0.0095 0.8373 0.8179 2.3080 0.0000 4.8060 0.0025  1000
0 18 308.9321 0.0163 36.8924 0.0077 0.3323 0.8136 2.2880 0.0000 4.7566 0.0033  1000
0 19 290.5075 0.0162 36.8057 0.0089 0.1575 0.9211 2.2860 0.0000 4.7639 0.0036  1000
0 20 290.6892 0.0282 50.8796 0.0068 0.3457 0.8686 2.2840 0.0000 4.7579 0.0028  1000
0 21 272.1539 0.0348 36.9167 0.0077 0.2229 0.8798 2.2810 0.0000 4.7578 0.0030  1000
0 22 268.8620 0.0196 50.8781 0.0108 0.2219 0.8554 2.2830 0.0000 4.7509 0.0036  1000
0 23 253.6909 0.0559 36.9254 0.0098 -0.1513 1.6055 2.2810 0.0000 4.7640 0.0068  1000
0 24 247.0401 0.0173 50.9000 0.0087 0.9627 0.8491 2.2850 0.0000 4.7592 0.0031  1000
1 0 198.0288 0.0363 25.4477 0.0681 0.5073 0.9045 3.0000 0.0000 6.1811 0.0129  1000
1 1 198.2443 0.0156 10.5023 0.0090 0.1256 0.8383 3.0000 0.0000 6.0528 0.0025  1000
1 2 180.0700 0.0262 25.8161 0.0119 0.5902 0.8485 3.0000 0.0000 6.1918 0.0059  1041
1 3 180.1099 0.0569 10.4898 0.0666 0.6170 0.9727 3.0000 0.0000 6.1000 0.0176  1331
1 4 162.5532 0.0421 25.8099 0.0165 0.6446 0.8623 3.0000 0.0000 6.0744 0.0042  1000
1 5 162.8375 0.0357 10.6964 0.0117 0.1774 0.8274 3.0000 0.0000 6.0685 0.0047  1000
1 6 143.9341 0.0099 25.6875 0.0193 1.1599 0.9247 3.0000 0.0000 6.1921 0.0058  1000
1 7 144.1977 0.1059 10.4862 0.0801 0.4826 1.4317 3.0000 0.0000 6.0705 0.0199  1000
1 8 126.6693 0.0248 25.7660 0.0117 0.5874 0.8959 3.0000 0.0000 6.2004 0.0043  1000
1 9 126.2009 0.0122 10.5305 0.0200 0.4218 0.8921 3.0000 0.0000 6.0712 0.0050  1000
1 10 107.9986 0.0128 25.6666 0.0652 1.0010 0.8990 3.0000 0.0000 6.1667 0.0047  1000
1 11 108.0019 0.0058 10.5813 0.0056 0.3942 0.8721 3.0000 0.0000 6.0585 0.0018  1000
2 0 64.1539 0.0083 25.5578 0.0129 -0.0382 0.1733 3.0000 0.0000 6.1783 0.0033  1000
2 1 64.1195 0.0040 10.6097 0.0039 -0.1087 0.0375 3.0000 0.0000 6.1083 0.0018  1000
2 2 46.2161 0.0085 25.7592 0.0135 0.2566 0.7251 3.0000 0.0000 6.1925 0.0064  1000
2 3 46.1338 0.0150 10.6190 0.0116 0.0113 0.0964 3.0000 0.0000 6.0945 0.0053  1000
2 4 28.3725 0.0215 25.7456 0.0157 -0.0516 0.8165 3.0000 0.0000 6.1834 0.0071  1000
2 5 28.2393 0.0080 10.5002 0.0077 -0.0532 0.0867 3.0000 0.0000 6.1072 0.0033  1000
2 6 10.3819 0.0105 25.5802 0.0052 0.1866 0.8344 3.0000 0.0000 6.1678 0.0027  1000
2 7 10.4935 0.0117 10.7436 0.0126 0.1191 0.7494 3.0000 0.0000 6.0901 0.0093  1000
2 8 352.3496 0.0132 25.7438 0.0102 0.2559 0.7954 3.0000 0.0000 6.1800 0.0050  1000
2 9 352.3830 0.0142 10.5655 0.0615 0.1400 0.8955 3.0000 0.0000 6.1181 0.0059  1000
2 10 334.3783 0.0305 25.8932 0.0850 0.0118 0.8718 3.0000 0.0000 6.1872 0.0640  1000
2 11 334.3762 0.0426 10.5100 0.0120 -0.2893 0.8572 3.0000 0.0000 6.1351 0.0068  1000
