64.83	29.81
64.32	29.79
63.82	29.77
63.32	29.76
62.82	29.75
62.31	29.74
61.81	29.73
61.30	29.72
60.80	29.72
60.30	29.71
59.79	29.71
59.29	29.71
58.78	29.72
58.28	29.72
57.77	29.73
57.27	29.74
56.77	29.75
56.26	29.76
55.76	29.77
55.26	29.79
54.76	29.81
54.26	29.83
53.76	29.85
53.26	29.87
52.76	29.90
52.26	29.93
51.76	29.96
51.26	29.99
50.77	30.02
50.27	30.06
49.78	30.09
49.29	30.13
48.80	30.17
48.31	30.21
47.82	30.26
47.33	30.30
46.85	30.35
46.36	30.40
45.88	30.45
45.40	30.51
44.92	30.56
44.44	30.62
43.96	30.68
43.49	30.74
43.01	30.80
42.54	30.86
42.07	30.93
41.60	30.99
41.14	31.06
40.67	31.13
40.21	31.20
39.75	31.28
39.29	31.35
38.83	31.43
38.38	31.51
37.93	31.59
37.47	31.67
37.03	31.75
36.58	31.84
36.14	31.93
35.69	32.01
35.25	32.10
34.82	32.19
34.38	32.29
33.95	32.38
33.52	32.48
33.09	32.57
32.66	32.67
32.24	32.77
31.82	32.87
31.40	32.97
30.98	33.08
30.56	33.18
30.15	33.29
29.74	33.40
29.33	33.51
28.93	33.62
28.53	33.73
28.12	33.84
27.73	33.96
27.33	34.07
26.94	34.19
26.55	34.31
26.16	34.43
25.77	34.55
25.39	34.67
25.00	34.80
24.63	34.92
24.25	35.05
23.87	35.17
23.50	35.30
23.13	35.43
22.76	35.56
22.40	35.69
22.04	35.82
21.68	35.96
21.32	36.09
20.96	36.23
20.61	36.36
20.26	36.50
19.91	36.64
19.56	36.78
19.22	36.92
18.87	37.06
18.53	37.21
18.20	37.35
17.86	37.49
17.53	37.64
17.20	37.79
16.87	37.93
16.54	38.08
16.22	38.23
15.89	38.38
15.57	38.53
15.25	38.68
14.94	38.84
14.62	38.99
14.31	39.14
14.00	39.30
13.69	39.46
13.39	39.61
13.08	39.77
12.78	39.93
12.48	40.09
12.19	40.25
11.89	40.41
11.60	40.57
11.30	40.73
11.01	40.90
10.73	41.06
10.44	41.22
10.15	41.39
9.87	41.55
9.59	41.72
9.31	41.89
9.04	42.06
8.76	42.22
8.49	42.39
8.22	42.56
7.95	42.73
7.68	42.91
7.41	43.08
7.15	43.25
6.88	43.42
6.62	43.60
6.36	43.77
6.10	43.94
5.85	44.12
5.59	44.30
5.34	44.47
5.09	44.65
4.84	44.83
4.59	45.00
4.34	45.18
4.10	45.36
3.85	45.54
3.61	45.72
3.37	45.90
3.13	46.08
2.89	46.27
2.65	46.45
2.42	46.63
2.19	46.81
1.95	47.00
1.72	47.18
1.49	47.37
1.26	47.55
1.04	47.74
0.81	47.92
0.59	48.11
0.36	48.29
0.14	48.48
-0.08	48.67
-0.30	48.86
-0.51	49.05
-0.73	49.23
-0.95	49.42
-1.16	49.61
-1.37	49.80
-1.59	49.99
-1.80	50.18
-2.01	50.38
-2.21	50.57
-2.42	50.76
-2.63	50.95
-2.83	51.14
-3.04	51.34
-3.24	51.53
-3.44	51.72
-3.64	51.92
-3.84	52.11
-4.04	52.31
-4.24	52.50
-4.43	52.70
-4.63	52.89
-4.82	53.09
-5.02	53.29
-5.21	53.48
-5.40	53.68
-5.59	53.88
-5.78	54.07
-5.97	54.27
-6.15	54.47
-6.34	54.67
-6.53	54.87
-6.71	55.07
-6.90	55.27
-7.08	55.47
-7.26	55.67
-7.44	55.87
-7.62	56.07
-7.80	56.27
-7.98	56.47
-8.16	56.67
-8.34	56.87
-8.51	57.07
-8.69	57.27
-8.86	57.48
-9.04	57.68
-9.21	57.88
-9.38	58.08
-9.55	58.29
-9.72	58.49
-9.89	58.69
-10.06	58.90
-10.23	59.10
-10.40	59.30
-10.57	59.51
-10.73	59.71
-10.90	59.92
-11.07	60.12
-11.23	60.33
-11.39	60.53
-11.56	60.74
-11.72	60.95
-11.88	61.15
-12.04	61.36
-12.20	61.56
-12.36	61.77
-12.52	61.98
-12.68	62.18
-12.84	62.39
-13.00	62.60
-13.15	62.81
-13.31	63.01
-13.47	63.22
-13.62	63.43
-13.78	63.64
-13.93	63.85
-14.08	64.06
-14.24	64.26
-14.39	64.47
-14.54	64.68
-14.69	64.89
-14.84	65.10
-14.99	65.31
-15.14	65.52
-15.29	65.73
-15.44	65.94
-15.59	66.15
-15.74	66.36
-15.88	66.57
-16.03	66.78
-16.18	66.99
-16.32	67.20
-16.47	67.41
-16.61	67.62
-16.76	67.83
-16.90	68.05
-17.05	68.26
-17.19	68.47
-17.33	68.68
-17.48	68.89
-17.62	69.10
-17.76	69.32
-17.90	69.53
-18.04	69.74
-18.18	69.95
-18.32	70.16
-18.46	70.38
-18.60	70.59
-18.74	70.80
-18.88	71.02
-19.02	71.23
-19.16	71.44
-19.29	71.65
-19.43	71.87
-19.57	72.08
-19.71	72.29
