 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,44.000,44,44,333.911,143.662,334.083,143.719,22,0,4,corner
2,0.000,33.000,33,33,1051.531,142.629,1051.474,142.687,22,0,4,corner
3,0.000,161.000,161,161,1052.851,782.796,1052.851,782.969,22,0,4,corner
4,0.000,11.000,11,11,335.804,782.280,335.804,782.280,22,0,4,corner
5,1988.423,37.666,11,63,595.703,672.296,595.803,671.961,0,0,0,star
6,1773.109,48.823,20,72,631.160,567.820,631.180,567.496,0,0,0,star
7,1658.283,56.691,28,81,680.558,505.169,680.559,504.785,0,0,0,star
8,1525.682,61.642,31,86,640.798,394.324,640.920,394.245,0,0,0,star
9,2038.192,56.356,10,91,902.591,414.806,902.341,414.558,0,0,0,star
10,1927.632,71.632,35,100,565.755,223.927,565.926,223.773,0,0,0,star
