 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,69.000,69,69,334.255,143.891,334.427,144.063,2,0,4,corner
2,0.000,67.000,67,67,1051.531,142.973,1051.474,143.031,2,0,4,corner
3,0.000,183.000,183,183,1052.507,782.624,1052.507,782.624,2,0,4,corner
4,0.000,10.000,10,10,335.804,782.194,335.804,782.280,2,0,4,corner
5,1984.512,62.355,4,143,506.546,639.421,506.869,638.660,0,0,0,star
6,1549.026,112.825,42,166,779.698,379.694,779.602,379.495,0,0,0,star
7,1903.577,117.001,33,183,830.990,318.420,830.880,318.219,0,0,0,star
8,1397.821,96.369,37,151,738.390,481.416,738.383,481.165,0,0,0,star
9,1206.799,66.146,4,113,691.229,633.742,691.226,633.397,0,0,0,star
