 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,62.000,62,62,325.187,130.551,325.244,130.607,6,0,4,corner
2,0.000,28.000,28,28,1039.649,130.437,1039.592,130.607,6,0,4,corner
3,0.000,22.000,22,22,1041.460,767.678,1041.630,767.848,6,0,4,corner
4,0.000,25.000,25,25,327.225,767.451,327.282,767.508,6,0,4,corner
5,1458.208,43.966,17,77,461.116,732.691,461.323,732.931,0,0,0,star
6,1958.854,47.238,19,77,462.135,590.534,462.368,590.314,0,0,0,star
7,1653.320,54.748,21,81,617.030,545.697,617.090,545.155,0,0,0,star
8,1827.202,37.684,12,69,858.712,673.247,858.269,673.062,0,0,0,star
9,1774.587,40.097,15,75,826.782,637.920,826.439,637.686,0,0,0,star
10,1675.358,58.195,23,80,726.237,344.436,726.040,344.623,0,0,0,star
11,1721.973,55.882,25,82,675.285,300.957,675.387,300.987,0,0,0,star
12,2041.352,44.278,12,75,895.737,488.121,895.508,487.818,0,0,0,star
