 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,53.000,53,53,324.508,131.343,324.565,131.286,1,0,4,corner
2,0.000,28.000,28,28,1039.196,129.758,1039.252,129.928,1,0,4,corner
3,0.000,31.000,31,31,1041.007,765.640,1040.951,765.810,1,0,4,corner
4,0.000,17.000,17,17,327.225,768.357,327.282,768.527,1,0,4,corner
5,2435.500,45.883,15,73,508.162,656.263,508.139,656.164,0,0,0,star
6,1929.662,43.419,18,76,623.653,716.726,623.852,716.515,0,0,0,star
7,1775.510,49.264,21,75,519.032,521.749,519.162,521.611,0,0,0,star
8,1827.202,55.367,23,80,675.285,481.667,675.276,481.096,0,0,0,star
9,1598.283,39.608,15,74,884.528,572.701,884.326,572.402,0,0,0,star
10,1715.511,39.814,14,70,911.023,610.066,910.794,609.943,0,0,0,star
11,2611.805,35.637,11,70,973.524,722.840,972.759,722.620,0,0,0,star
12,2039.506,44.670,19,75,956.540,428.677,956.211,428.641,0,0,0,star
13,1707.665,56.786,18,81,790.776,281.935,790.512,281.681,0,0,0,star
