 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,61.000,61,61,324.282,130.211,324.225,130.267,3,0,4,corner
2,0.000,18.000,18,18,1038.063,129.758,1038.233,129.928,3,0,4,corner
3,0.000,10.000,10,10,1042.366,767.678,1042.309,767.848,3,0,4,corner
4,0.000,10.000,10,10,326.546,768.357,326.603,768.527,3,0,4,corner
5,2538.422,43.247,16,72,478.270,700.421,478.748,700.053,0,0,0,star
6,2171.043,42.113,16,74,600.555,743.221,600.806,742.961,0,0,0,star
7,1825.817,48.594,17,81,497.972,546.206,498.025,546.094,0,0,0,star
8,2148.889,55.009,18,81,651.507,505.444,651.605,504.939,0,0,0,star
9,1753.819,41.706,16,76,849.880,595.799,849.282,595.557,0,0,0,star
10,1672.589,39.827,13,68,888.604,639.958,888.261,639.807,0,0,0,star
11,1331.517,35.892,11,65,944.312,746.618,943.933,746.399,0,0,0,star
12,1860.778,57.594,27,80,764.790,308.260,764.959,308.347,0,0,0,star
13,1611.667,55.913,24,81,712.310,260.875,712.313,261.054,0,0,0,star
