 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,48.000,48,48,325.187,131.570,325.244,131.626,4,0,4,corner
2,0.000,49.000,49,49,1038.063,129.079,1038.233,129.248,4,0,4,corner
3,0.000,18.000,18,18,1042.140,767.225,1042.309,767.168,4,0,4,corner
4,0.000,9.000,9,9,326.773,767.904,326.942,767.848,4,0,4,corner
5,1566.898,43.480,14,71,478.949,701.100,479.070,701.125,0,0,0,star
6,1250.288,41.551,14,77,590.025,751.373,590.199,751.300,0,0,0,star
7,1809.664,48.596,17,79,481.667,557.076,481.996,556.668,0,0,0,star
8,1721.973,55.888,20,80,639.958,515.635,640.143,515.499,0,0,0,star
9,1340.287,41.604,16,71,843.087,604.631,842.739,604.408,0,0,0,star
10,1340.287,37.813,11,68,874.337,650.828,874.081,650.614,0,0,0,star
11,1218.904,35.908,13,67,936.839,747.297,936.499,747.675,0,0,0,star
12,1462.131,44.792,17,75,891.321,466.042,891.704,465.590,0,0,0,star
13,1712.281,57.372,27,81,753.411,318.620,753.395,318.691,0,0,0,star
14,1806.202,57.252,23,81,700.421,271.235,700.604,271.315,0,0,0,star
