 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,54.000,54,54,324.508,131.343,324.565,131.286,23,0,4,corner
2,0.000,35.000,35,35,1038.290,128.626,1038.233,128.569,23,0,4,corner
3,0.000,31.000,31,31,1042.140,766.772,1042.309,766.829,23,0,4,corner
4,0.000,15.000,15,15,327.452,768.357,327.622,768.527,23,0,4,corner
5,1771.818,33.985,0,98,589.006,655.583,589.191,654.918,0,0,0,star
6,1771.818,37.714,0,118,749.335,556.397,749.281,556.131,0,0,0,star
7,1439.054,39.647,2,103,645.393,491.178,645.350,491.169,0,0,0,star
8,1303.710,32.451,0,100,899.304,623.144,899.012,622.679,0,0,0,star
9,2161.581,37.085,0,104,877.904,721.481,877.019,720.704,0,0,0,star
10,1771.818,42.152,3,107,819.989,324.055,819.881,323.854,0,0,0,star
