0 1 338.453 10.246 -0.045 2.293 4.733 277 1.23611104
0 2 340.565 23.917 0.865 2.290 4.745 40 0.91975147
0 3 322.513 10.634 -0.316 2.310 4.754 49 0.38652337
0 4 323.750 23.861 0.182 2.299 4.749 78 0.87311852
0 5 306.386 10.238 0.042 2.299 4.750 62 1.10128319
0 6 307.075 23.694 -0.202 2.316 4.791 121 0.93733901
0 7 290.547 10.381 0.032 2.319 4.786 61 0.50243306
0 8 290.504 23.793 0.160 2.301 4.758 54 0.28194326
0 9 274.535 10.900 -0.220 2.303 4.737 974 0.93593800
0 10 273.926 24.107 0.358 2.296 4.738 472 1.08238828
0 11 258.574 10.438 0.244 2.301 4.741 306 1.50437105
0 12 257.235 24.256 0.210 2.297 4.730 421 0.99853998
0 13 242.539 10.100 0.157 2.299 4.738 317 1.22509515
0 14 240.545 24.339 0.119 2.300 4.749 101 1.08676970
0 15 334.202 50.825 -0.313 2.278 4.756 210 0.35156783
0 16 327.399 37.017 0.043 2.277 4.756 133 0.65397215
0 17 312.301 49.973 0.817 2.308 4.806 332 0.56622899
0 18 308.936 36.894 0.307 2.288 4.758 369 0.87427253
0 19 290.499 36.810 -0.456 2.286 4.764 342 0.76406580
0 20 290.678 50.881 -0.164 2.284 4.758 321 0.70671850
0 21 272.172 36.919 -0.025 2.281 4.757 420 0.75018173
0 22 268.856 50.875 0.151 2.283 4.751 354 0.85040528
0 23 253.664 36.927 -0.754 2.281 4.763 228 0.78940755
0 24 247.037 50.897 0.915 2.285 4.759 340 0.88414848
1 0 198.008 25.441 0.347 3.000 6.183 87 0.47447056
1 1 198.239 10.502 0.085 3.000 6.053 194 0.84141630
1 2 180.055 25.819 0.528 3.000 6.190 307 1.38914108
1 3 180.075 10.529 0.001 3.000 6.104 41 1.47040641
1 4 162.575 25.808 0.551 3.000 6.074 172 0.71376598
1 5 162.819 10.699 0.093 3.000 6.068 195 1.22244883
1 6 143.935 25.694 0.586 3.000 6.191 161 0.67880362
1 7 144.231 10.499 -0.277 3.000 6.070 43 1.35605633
1 8 126.656 25.763 -0.019 3.000 6.200 244 0.96522868
1 9 126.203 10.534 0.360 3.000 6.071 99 0.76813310
1 10 107.999 25.699 0.482 3.000 6.167 98 0.59690613
1 11 108.000 10.580 0.344 3.000 6.059 713 0.78185523
2 0 64.153 25.555 -0.092 3.000 6.178 188 1.05931461
2 1 64.119 10.611 -0.116 3.000 6.109 630 0.66973352
2 2 46.213 25.757 0.193 3.000 6.193 200 1.27503622
2 3 46.134 10.620 0.042 3.000 6.094 172 0.93583208
2 4 28.376 25.743 -0.106 3.000 6.184 74 1.29380000
2 5 28.239 10.500 -0.037 3.000 6.108 308 0.83199245
2 6 10.383 25.579 0.150 3.000 6.170 1027 2.79728222
2 7 10.495 10.742 0.084 3.000 6.089 43 0.63470197
2 8 352.348 25.742 0.162 3.000 6.179 127 1.12124956
2 9 352.381 10.597 -0.352 3.000 6.118 85 0.64745551
2 10 334.369 25.905 -0.080 3.000 6.173 46 1.42366445
2 11 334.360 10.508 -0.379 3.000 6.136 76 0.66276795
