0 1 338.423 10.375 -0.164 2.293 4.730 276 1.26308405
0 2 340.574 24.038 0.712 2.290 4.745 40 0.91954875
0 3 322.478 10.792 -0.418 2.310 4.754 49 0.38704613
0 4 323.741 24.018 0.070 2.299 4.749 78 0.87360322
0 5 306.344 10.435 -0.046 2.299 4.755 45 1.27729940
0 6 307.043 23.874 -0.274 2.316 4.791 104 0.99454761
0 7 290.500 10.572 -0.031 2.319 4.790 29 0.81651860
0 8 290.448 23.981 0.232 2.301 4.760 53 0.26999274
0 9 274.471 11.079 -0.177 2.303 4.736 967 0.94055939
0 10 273.849 24.286 0.422 2.296 4.738 451 1.08497131
0 11 258.503 10.596 0.343 2.301 4.740 307 1.51900387
0 12 257.134 24.413 0.324 2.297 4.730 421 0.99881506
0 13 242.456 10.228 0.189 2.299 4.736 326 1.30093384
0 14 240.426 24.459 0.277 2.300 4.749 101 1.08506680
0 15 334.307 50.961 -0.516 2.278 4.756 210 0.35115805
0 16 327.430 37.168 -0.097 2.277 4.756 133 0.65537673
0 17 312.330 50.147 0.706 2.308 4.806 331 0.56389862
0 18 308.926 37.072 0.235 2.288 4.757 369 0.87441772
0 19 290.450 37.002 -0.448 2.286 4.765 240 0.76397133
0 20 290.647 51.076 -0.148 2.284 4.758 157 0.77141303
0 21 272.081 37.096 0.048 2.281 4.757 284 0.71941429
0 22 268.728 51.057 0.234 2.283 4.750 211 0.90685862
0 23 253.531 37.074 -0.607 2.281 4.758 129 0.74135387
0 24 246.838 51.022 1.167 2.285 4.760 247 0.80927074
0 25 67.8819 9.9421 0.0073 2.285 4.7555 0 0.0
0 26 51.9886 10.4845 -0.1407 2.285 4.7306 0 0.0
0 27 36.0963 9.7821 0.1596 2.285 4.7331 0 0.0
0 28 20.0597 10.5495 -0.1915 2.285 4.7661 0 0.0
1 0 198.207 25.553 0.197 3.000 6.182 88 0.48409948
1 1 198.392 10.611 -0.068 3.000 6.053 194 0.84632027
1 2 180.232 25.971 0.406 3.000 6.190 307 1.39119673
1 3 180.219 10.682 -0.094 3.000 6.100 43 1.58845139
1 4 162.727 25.985 0.486 3.000 6.074 172 0.71276498
1 5 162.810 10.678 -0.044 3.000 6.047 246 0.81449944
1 6 144.058 25.881 0.597 3.000 6.191 161 0.67875874
1 7 144.357 10.683 -0.229 3.000 6.070 43 1.36216366
1 8 126.753 25.941 0.044 3.000 6.200 244 0.96636587
1 9 126.317 10.711 0.427 3.000 6.071 99 0.76253039
1 10 108.069 25.849 0.606 3.000 6.167 98 0.59620821
1 11 108.106 10.736 0.515 3.000 6.061 362 0.49814373
2 0 64.071 25.706 -0.224 3.000 6.178 188 1.06260216
2 1 64.005 10.762 -0.228 3.000 6.108 630 0.67009759
2 2 46.107 25.934 0.130 3.000 6.192 200 1.27547169
2 3 46.010 10.797 -0.018 3.000 6.094 172 0.93694293
2 4 28.242 25.930 -0.106 3.000 6.184 74 1.29243290
2 5 28.105 10.685 -0.040 3.000 6.108 309 0.83986658
2 6 10.186 25.726 0.363 3.000 6.173 66 0.84105170
2 7 10.349 10.919 0.140 3.000 6.089 43 0.63445503
2 8 352.161 25.894 0.284 3.000 6.180 128 1.14703679
2 9 352.225 10.748 -0.242 3.000 6.118 85 0.64876354
2 10 334.161 26.015 0.089 3.000 6.173 46 1.42308569
2 11 334.197 10.617 -0.225 3.000 6.136 76 0.66221738
3 1 358.0077 10.2662 0.5323 2.285 4.7339 0 0.0
3 2 342.2199 10.1105 0.4586 2.285 4.7668 0 0.0
3 3 326.2005 9.9768 0.6127 2.285 4.7426 0 0.0
3 4 310.0136 9.9708 0.8088 2.285 4.7440 0 0.0
3 5 294.0 10.24 0.000 2.285 4.760 0 0.0
3 6 278.0 10.24 0.000 2.285 4.760 0 0.0
3 7 262.3000 10.1371 0.3594 2.285 4.7390 0 0.0
3 8 246.2294 10.2013 0.4858 2.285 4.7422 0 0.0
